Company,Year,Lobby Amount
Alphabet,2012,18220000
Nvidia,2012,0
Microsoft,2012,8086000
Apple,2012,1970000
META,2012,3850000
Amazon,2012,2500000
Tesla,2012,0
Alphabet,2014,16830000
Nvidia,2014,0
Microsoft,2014,8330000
Apple,2014,4110000
META,2014,9340000
Amazon,2014,4740000
Tesla,2014,0
Alphabet,2016,15430000
Nvidia,2016,0
Microsoft,2016,8710000
Apple,2016,4670000
META,2016,8692000
Amazon,2016,11020000
Tesla,2016,820000
Alphabet,2018,22010000
Nvidia,2018,0
Microsoft,2018,9590000
Apple,2018,6680000
META,2018,12620000
Amazon,2018,14190000
Tesla,2018,890000
Alphabet,2020,8850000
Nvidia,2020,0
Microsoft,2020,9464000
Apple,2020,6650000
META,2020,19680000
Amazon,2020,17860000
Tesla,2020,400000
Alphabet,2022,13184000
Nvidia,2022,0
Microsoft,2022,10529926
Apple,2022,9360000
META,2022,19150000
Amazon,2022,21460000
Tesla,2022,770000
Alphabet,2024,14790000
Nvidia,2024,640000
Microsoft,2024,10353764
Apple,2024,7820000
META,2024,24430000
Amazon,2024,19140000
Tesla,2024,750000
